Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255	256	257	258	259	260	261	262	263	264	265	266	267	268	269	270	271	272	273	274	275	276	277	278	279	280	281	282	283	284	285	286	287	288	289	290	291	292	293	294	295	296	297	298	299	300	301	302	303	304	305	306	307	308	309	310	311	312	313	314	315	316	317	318	319	320	321	322	323	324	325	326	327	328	329	330	331	332	333	334	335	336	337	338	339	340	341	342	343	344	345	346	347	348	349	350	351	352	353	354	355	356	357	358	359	360	361	362	363	364	365	366	367	368	369	370	371	372	373	374	375	376	377	378	379	380	381	382	383	384	385	386	387	388	389	390	391	392	393	394	395	396	397	398	399	400	401	402	403	404	405	406	407	408	409	410	411	412	413	414	415	416	417	418	419	420	421	422	423
CHa_47_T0_B_TWS042_10_chr19	7666176	5206161	5125496	4769118	4345142	3969929	3660750	3407778	3181716	2976119	2775480	2581902	2405044	2228755	2061643	1903748	1755956	1616123	1484853	1363657	1252433	1144748	1050528	958506	879896	805024	736527	673404	617587	563968	516471	472904	432622	396686	362143	332093	305068	279983	257169	236086	215990	198125	182402	167233	154222	142438	130717	120383	111473	101831	94859	87274	80838	74543	69060	63834	59235	55273	50889	47044	44279	41274	38138	35600	33299	30981	28832	26969	25129	23721	22267	20627	19390	18375	17132	15972	14974	14286	13405	12787	11957	11440	10633	10037	9484	8928	8195	7963	7532	7178	6842	6563	6051	5743	5600	5238	4964	4815	4537	4235	4057	3870	3738	3599	3318	3148	3060	2831	2759	2651	2426	2288	2278	2189	2031	1982	1832	1806	1736	1543	1525	1466	1391	1349	1198	1199	1089	1044	1078	1003	906	925	867	849	787	799	725	683	625	656	608	538	542	516	493	467	467	461	434	368	414	369	368	336	314	310	300	313	268	253	259	230	235	250	212	217	199	193	194	152	172	158	153	137	144	127	134	117	145	128	121	117	92	98	102	75	98	102	90	62	77	77	87	78	70	57	60	76	69	51	56	58	61	54	52	66	56	48	55	45	52	47	37	47	44	42	45	38	43	40	43	37	38	42	38	30	25	30	28	29	30	21	31	23	25	26	24	22	22	26	25	28	25	35	21	26	17	23	23	16	23	12	13	18	22	20	23	17	19	16	16	9	9	16	22	9	6	13	9	8	12	13	12	9	8	7	5	10	9	9	6	12	8	9	8	9	8	6	5	3	13	5	4	3	6	5	7	8	6	5	7	4	3	4	4	6	5	7	4	1	2	6	2	2	1	4	4	2	2	1	2	1	3	4	2	2	3	2	4	1	2	3	1	2	2	1	2	1	1	2	1	1	1	1	1																																																																														
CHa_47_T0_B_TWS042_10_chr2	10609905	8679976	8364901	7471882	6521409	5737710	5130004	4658330	4266154	3926514	3614821	3327450	3057079	2807146	2565205	2347644	2141806	1949326	1774193	1608776	1460649	1323406	1196802	1082799	979599	884863	797423	720857	650760	589313	530094	479394	432513	391070	353054	318559	287757	260608	236565	214336	193731	176226	159391	145278	131572	120178	108929	99378	90756	82724	75325	69128	63382	57850	52829	48523	44440	40759	37953	34997	31842	29591	27228	24967	23533	21392	19598	18432	17005	16100	14747	13520	12834	12101	11080	10350	9588	9110	8494	8031	7255	7081	6584	6087	5909	5430	5165	4680	4614	4256	3901	3895	3473	3418	3204	2914	2863	2745	2529	2402	2289	2223	2042	1883	1902	1802	1636	1638	1515	1446	1341	1296	1233	1166	1143	1071	1019	1016	965	884	869	822	806	731	748	708	648	643	642	571	556	508	511	485	520	445	453	447	403	346	375	379	380	318	336	289	280	311	274	233	242	248	242	233	210	236	209	207	195	201	183	151	163	161	166	165	157	143	155	129	99	124	113	111	127	150	107	123	112	104	97	109	100	91	104	90	84	75	76	74	76	69	87	84	64	76	69	62	75	66	70	73	58	63	61	68	57	54	53	57	49	55	52	44	54	52	48	42	38	37	40	43	53	50	42	46	55	36	33	35	36	29	37	41	42	28	20	33	30	24	32	31	22	22	35	23	16	23	23	30	18	33	23	22	30	21	23	19	18	13	14	16	17	17	16	15	16	11	15	16	12	18	15	19	14	19	13	10	9	12	14	8	13	8	9	5	8	5	7	6	10	6	7	8	7	8	5	7	7	4	1	9	3	7	5	1	3	4	4	3	2	5	4	2	3	3	3	1	1	4	3	2	1	1	2	1	2	2	1	1	2	2	4	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																															
CHa_47_T0_B_TWS042_10_chr20	3426633	2550670	2465514	2220389	1956740	1740666	1575831	1449681	1349629	1260335	1180373	1101409	1027102	957146	888207	822534	762792	700923	646716	594525	545948	500531	457980	419382	382954	350084	318359	291141	264773	241506	219051	199879	181633	164754	150524	136559	124628	113247	102919	93959	85197	76860	70127	63510	57870	52274	48373	43661	39811	36271	32749	30106	27390	25087	22894	20910	19113	17439	15811	14546	13358	12280	11064	10270	9384	8602	8045	7220	6627	6083	5853	5265	4873	4494	3992	3646	3433	3139	2849	2791	2555	2387	2170	2021	1872	1679	1618	1450	1391	1276	1157	1122	1013	940	910	793	751	752	714	626	587	513	546	478	455	430	349	379	354	356	325	300	298	246	270	243	215	211	202	174	179	154	161	146	125	142	135	121	103	113	105	86	93	84	87	88	73	69	65	64	68	57	37	47	35	50	35	34	26	27	34	38	28	27	25	20	17	17	22	22	17	13	15	15	16	11	8	10	8	12	6	9	15	10	6	5	6	8	11	7	9	5	5	7	5	3	5	2	3	3	3	3	3	3	2	3	1	3	1	2	1	2	2	2	1	2	1	1	1	1	1	1	1	2	1	1	1																																																																																																																																																																																																														
CHa_47_T0_B_TWS042_10_chr21	1715273	1264758	1191391	1050029	908424	790347	703581	641241	588553	544462	504829	470800	436000	403534	373803	345832	319856	293827	270671	248477	228165	208908	191381	174713	160094	146190	133528	122179	111205	101741	92859	85056	77747	70431	64125	59245	54195	49426	45216	40954	37859	35002	32140	29155	27036	24720	22794	21204	19244	17733	16393	15371	14062	13172	12193	11399	10543	9781	9151	8573	8205	7539	6985	6570	6151	5787	5537	5303	5025	4769	4511	4182	4028	3788	3657	3422	3263	3279	2937	2891	2817	2565	2536	2484	2459	2277	2165	2097	2011	1957	1846	1817	1710	1655	1687	1572	1518	1503	1448	1339	1302	1249	1315	1204	1114	1143	1087	1012	1021	1065	1026	959	980	880	902	882	846	832	782	815	747	686	736	690	687	676	633	612	595	620	576	563	559	542	512	461	479	467	444	477	389	399	437	374	419	359	356	326	334	315	317	305	286	293	269	260	250	238	207	209	223	225	217	202	178	176	168	167	159	162	130	134	150	148	120	147	112	108	83	114	97	108	99	83	70	80	67	93	86	69	61	56	62	51	46	50	39	46	50	34	36	53	39	35	31	32	32	23	32	30	27	28	22	19	17	29	25	24	21	16	21	18	21	15	9	21	12	11	10	11	10	13	10	18	14	4	5	10	8	5	7	5	7	2	8	7	6	4	8	7	4	4	3	2	2	4	2	2	3	2	2	2	3	4	1	2	3	2	2	2	1	3	2	4	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1																																																																																																																												
CHa_47_T0_B_TWS042_10_chr22	3069043	2074051	2000847	1817754	1624091	1460399	1337721	1243315	1168233	1098078	1036114	976016	915192	858111	803763	749479	699062	649293	601769	557643	515186	475603	438111	403993	371016	341481	314363	288164	264498	241655	222856	203684	186110	170567	155815	142651	131478	119553	109524	99722	91305	83709	76454	70039	64571	59190	54139	49803	45408	41671	38169	35372	32619	29517	27462	25197	23237	21249	19723	18396	16881	15622	14184	13477	12430	11398	10718	9799	9138	8514	7765	7348	6886	6461	5874	5568	5179	4846	4522	4149	3893	3633	3453	3331	3109	2980	2716	2531	2441	2333	2233	2046	1897	1874	1837	1602	1531	1414	1401	1276	1407	1272	1127	1112	1029	1001	912	952	906	823	769	743	713	716	662	657	580	608	509	544	515	512	502	455	457	472	376	405	360	350	327	332	346	266	294	264	259	255	245	266	230	242	203	207	206	188	185	150	152	187	154	151	158	139	143	122	132	122	121	114	133	110	103	94	94	84	83	84	90	94	74	71	65	70	62	55	65	73	47	49	49	49	44	50	36	42	42	39	50	48	50	36	35	38	34	30	27	32	21	25	19	20	30	21	24	21	26	26	18	19	20	19	20	21	17	21	11	24	12	10	10	8	11	11	12	13	15	11	5	11	7	9	5	10	9	10	7	7	9	6	5	10	3	4	8	9	6	3	11	6	4	3	3	4	3	7	4	2	6	3	5	2	8	6	2	6	6	2	2	1	1	5	4	2	1	1	1	2	4	2	2	1	1	1	1	1	1	4	1	3	2	3	1	3	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																		
CHa_47_T0_B_TWS042_10_chr3	8381704	6923573	6686662	5973858	5207049	4579756	4094890	3727107	3413974	3147189	2905152	2680026	2463273	2267013	2078049	1902472	1738073	1584570	1443099	1308909	1191126	1080167	977553	885487	800247	722452	652237	590453	532427	479454	432150	388826	352140	316367	285718	256521	231349	209806	188998	169702	153603	138225	125230	112325	101716	92481	83864	75053	67737	61202	55948	50925	45675	41477	37449	34183	30714	28557	25578	23539	21360	19286	17663	16181	14655	13543	12375	10934	10174	9486	8532	8035	7065	6586	5997	5536	5065	4557	4094	3813	3638	3210	2980	2748	2560	2326	2104	2076	1917	1748	1618	1424	1370	1269	1147	1066	1004	916	835	855	722	659	606	548	581	494	460	439	344	417	350	372	317	299	278	270	243	225	214	214	193	201	181	192	134	127	149	148	98	94	116	96	90	99	97	87	68	68	94	66	56	58	77	42	50	52	45	45	46	40	37	30	36	27	27	27	26	21	27	34	27	18	23	25	23	14	25	21	11	18	20	15	14	6	14	18	12	11	13	9	7	5	14	11	11	7	5	10	3	3	6	4	4	6	4	2	7	4	4	4	3	2	2	4	5	3	4	2	3	1	4	3	2	3	2	3	1	2	1	1	2	1	1	1	1	1	2	1	1	1	2	1	1	1	2	1	1																																																																																																																																																																																										
CHa_47_T0_B_TWS042_10_chr4	6369964	5386307	5115549	4480457	3819436	3286183	2886264	2580384	2337037	2134393	1951817	1782974	1629274	1487207	1357015	1232940	1119983	1014581	920098	831871	751577	678008	612253	550480	497533	446124	402445	361469	325561	294058	263039	236872	213597	191715	172596	155868	140440	127160	115113	104182	93919	84638	76718	69910	62798	57138	52034	47438	43119	39381	35960	33052	30030	27615	25117	23021	21349	19530	17998	16314	15264	13863	12795	11713	11175	10280	9719	8647	8115	7698	7040	6419	6013	5594	5152	4782	4456	4089	3936	3650	3630	3196	3130	2857	2721	2539	2343	2231	2012	1911	1793	1665	1623	1490	1461	1382	1300	1163	1239	1092	1096	990	925	898	806	837	846	737	699	668	625	577	550	519	519	521	490	455	492	445	420	410	366	369	344	332	335	281	312	310	292	279	271	264	250	258	236	200	232	223	183	194	181	160	198	182	181	171	154	145	148	145	123	111	132	134	108	128	108	96	122	104	86	86	77	77	99	76	98	80	72	59	71	57	60	55	54	60	62	51	47	56	43	34	54	48	42	41	43	41	33	38	36	43	25	30	34	25	20	21	30	22	27	21	21	19	22	21	13	19	21	14	22	15	14	12	11	17	14	12	20	10	9	16	11	7	16	15	12	15	14	12	10	7	12	6	11	7	5	10	9	7	2	7	4	3	1	7	8	7	6	6	6	5	6	4	4	2	6	5	6	2	4	4	2	7	1	6	5	4	2	5	2	4	2	2	4	3	4	3	4	3	2	1	2	1	5	2	3	3	6	4	3	1	3	4	1	1	1	2	2	1	1	1	1	1	3	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	2	1	1	2	1	1																																																																																										
CHa_47_T0_B_TWS042_10_chr5	6833945	5632958	5396729	4775395	4118814	3582642	3172764	2868052	2614832	2398389	2204145	2026533	1859517	1706346	1560141	1425408	1300125	1183611	1076144	977401	885720	804416	727383	658069	593786	537337	484942	439608	395732	357821	323239	292739	263128	238607	216576	195751	177166	160517	145846	132257	120517	109270	99603	90706	83074	75575	68761	63305	58650	53588	49134	45135	41480	37975	35885	33010	30263	27773	25873	24310	22643	20949	19639	18476	17295	15755	14950	14044	13196	12460	11667	11118	10406	9779	9232	8726	8151	7814	7461	7100	6849	6477	6055	5758	5537	5290	5019	4753	4548	4346	4054	4009	3868	3572	3485	3314	3147	3061	2932	2766	2652	2631	2483	2429	2299	2147	2043	2038	1997	1873	1759	1771	1690	1635	1528	1543	1366	1322	1322	1240	1154	1115	1127	971	1009	996	1000	921	844	857	837	757	816	687	676	691	640	594	649	581	530	580	573	492	505	451	468	444	435	419	392	384	346	325	331	321	307	307	259	275	286	267	260	255	245	231	196	228	178	208	177	174	171	142	173	160	141	118	139	132	117	129	115	114	117	94	100	99	101	90	78	84	80	80	75	53	73	73	68	74	51	59	60	42	43	56	38	39	40	37	37	29	38	20	35	33	38	23	34	27	26	22	22	18	23	28	18	27	16	22	17	9	15	11	11	16	14	10	8	8	7	8	7	6	7	3	4	7	5	4	5	13	4	9	4	3	3	6	5	2	2	3	3	3	1	4	5	1	5	5	1	1	1	4	1	2	3	2	1	4	2	2	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																	
CHa_47_T0_B_TWS042_10_chr6	7240003	5858505	5631592	5024044	4369026	3834123	3426819	3115660	2855297	2630004	2428607	2239148	2063549	1897282	1740730	1595716	1463288	1335413	1215259	1107648	1008987	917224	833421	755835	685069	620967	562076	508012	459821	417657	377226	342987	310617	282909	255436	231000	210011	190815	173190	157703	143878	130468	119384	108469	99271	90283	82212	75317	69243	63525	58043	53541	48650	44744	41199	38152	35161	32314	30141	27616	25535	23599	22022	20170	19096	17728	16170	15025	14204	13111	12467	11771	10840	10118	9429	8952	8362	7747	7334	6787	6320	6292	5819	5310	5124	4810	4553	4278	4080	3981	3707	3568	3321	3123	2978	2940	2808	2654	2565	2528	2326	2164	2055	2088	1798	1806	1766	1722	1588	1566	1497	1507	1423	1353	1294	1275	1176	1179	1131	1034	1084	1017	1052	962	920	885	885	844	859	797	814	775	694	725	681	643	667	605	631	580	561	595	515	553	516	542	530	476	500	493	430	409	398	401	348	374	384	361	322	349	323	331	317	332	314	289	304	291	274	247	273	255	256	247	254	237	259	211	219	196	218	197	195	201	182	184	191	183	180	166	165	133	146	153	138	138	134	140	124	114	162	120	106	121	115	119	109	101	99	83	106	105	81	77	87	94	84	88	76	87	76	89	76	74	66	72	54	63	63	57	45	58	65	62	80	54	40	40	44	47	39	32	37	46	36	33	34	34	41	43	26	27	35	27	36	24	41	20	34	33	16	27	30	31	26	24	23	25	20	29	18	32	22	26	23	18	25	24	15	23	9	15	16	13	16	19	14	10	3	16	17	13	14	13	12	10	10	13	11	11	10	9	10	10	10	8	11	10	14	13	8	11	8	6	4	4	8	10	6	7	6	4	10	7	7	5	3	3	6	4	6	6	5	3	5	3	3	2	1	3	5	1	5	5	2	6	4	6	3	6	2	6	4	5	1	1	3	2	2	2	1	1	1	6	1	3	1	3	1	5	2	2	2	2	1	2	2	1	2	1	5	2	4	2	1	2	2	1	3	2	1	2	2	1	1	1	2	2	2	2	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
CHa_47_T0_B_TWS042_10_chr7	7365914	5663836	5394088	4791390	4162569	3638393	3244496	2947741	2707368	2500321	2311472	2139383	1974749	1830262	1683553	1549457	1423018	1304917	1193216	1095553	999985	912693	833676	761469	692693	632287	575831	523334	477573	435084	395787	360659	329482	299573	273807	249866	227356	207622	190325	173948	158195	145378	132489	121167	111651	102241	93588	85789	79521	73340	66790	62016	56766	52124	48228	44547	41423	37542	35373	32636	30481	28252	26012	24294	22429	20907	19802	18102	17282	15667	14865	13809	13027	12159	11317	10699	10094	9357	8744	8273	7782	7254	6902	6474	6234	5662	5353	5072	4917	4628	4402	4051	3910	3599	3508	3334	3107	2971	2855	2729	2646	2488	2298	2306	2241	2132	1952	1839	1822	1681	1631	1526	1464	1400	1341	1241	1259	1223	1095	1055	1006	1067	938	956	866	786	772	814	762	718	665	650	659	617	584	518	526	498	485	475	474	469	438	395	362	395	341	371	326	313	327	283	284	288	275	274	268	232	234	265	215	188	183	177	186	189	148	182	177	164	140	130	132	129	122	139	114	127	107	108	102	102	111	99	82	89	97	101	84	81	76	70	71	83	62	71	58	66	58	71	58	48	49	51	39	53	46	53	43	46	35	44	42	45	36	23	36	31	24	27	22	31	30	26	25	25	33	25	18	30	29	19	19	25	17	26	19	22	23	23	12	24	13	12	15	13	20	16	19	14	14	17	14	4	12	12	10	12	9	13	9	2	11	3	7	8	5	6	15	10	7	9	5	5	6	5	4	9	8	11	4	6	3	5	2	4	8	8	3	2	6	4	3	8	4	4	4	3	2	4	2	2	1	6	1	2	2	4	3	2	1	2	2	3	2	1	3	4	1	1	2	1	1	3	2	1	2	1	1	2	1	1	2	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1																																																																											
CHa_47_T0_B_TWS042_10_chr8	5293567	4321157	4109850	3607507	3087218	2665250	2344504	2107427	1918047	1755579	1614093	1483089	1360745	1249166	1144599	1048054	957564	873487	796612	724294	658221	599320	543646	494320	448161	407622	369647	335899	305278	276463	251352	228867	207677	188965	172523	156701	142877	130260	119051	108041	99667	90596	82644	75973	69765	64191	58606	54008	49958	45762	42249	38954	36020	33342	30360	28267	26256	24252	22567	21088	19248	18017	16754	15609	14484	13438	12771	11835	10895	10157	9647	9037	8406	7578	7379	6799	6344	6005	5597	5197	4992	4603	4359	4300	3831	3670	3461	3334	2984	2809	2703	2541	2426	2257	2105	2069	1899	1804	1741	1493	1447	1468	1344	1340	1203	1219	1129	1048	953	956	959	872	826	738	715	671	643	611	604	562	523	526	481	477	436	419	419	404	387	378	356	300	305	308	286	295	256	227	234	230	251	207	223	195	218	170	168	156	172	162	139	114	140	103	130	114	105	107	78	96	84	99	81	82	92	62	79	73	65	67	60	62	65	68	51	46	56	45	42	53	37	49	47	45	38	27	33	34	39	30	39	34	32	21	27	14	27	18	29	20	20	20	12	18	18	18	15	12	20	12	14	17	13	7	16	17	15	9	10	15	10	11	13	11	15	16	5	6	9	8	13	7	3	12	11	6	6	9	7	4	5	8	4	5	4	6	2	5	4	1	5	3	4	4	2	5	4	3	3	2	3	4	2	3	3	4	5	2	1	1	2	2	2	2	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1																																																																																																																																				
CHa_47_T0_B_TWS042_10_chr9	5849168	4558638	4395712	3953075	3470162	3066222	2751048	2518227	2313098	2134598	1980764	1828948	1688914	1558830	1434178	1314647	1207480	1106268	1009529	920830	839359	765255	694642	633778	574852	524036	475650	431374	392475	357126	324337	293105	266851	242908	220545	201374	183357	166643	152301	138261	127146	115490	105677	96693	88438	81022	74223	68393	62702	57207	53288	48886	45164	41627	38211	35594	32834	30512	28157	25982	24090	22619	20830	19433	18055	16834	15651	14619	13673	12847	11989	11274	10372	9754	9296	8898	8078	7611	7233	6822	6395	5958	5538	5447	5006	4823	4616	4360	3962	3940	3751	3520	3291	3130	2988	2878	2704	2702	2598	2509	2313	2172	2069	2103	2018	1861	1763	1821	1681	1556	1560	1517	1435	1374	1317	1279	1130	1168	1133	1057	1025	1004	984	941	904	799	862	870	784	748	689	727	668	680	626	620	597	547	559	528	491	489	470	432	447	475	433	400	426	377	370	338	373	327	310	332	296	322	293	285	282	283	255	230	233	255	217	231	199	208	177	199	208	189	160	163	148	173	146	150	135	122	128	120	100	100	119	97	99	104	108	94	99	87	80	84	69	77	71	52	63	72	63	67	63	65	62	56	61	46	53	43	25	34	39	37	33	35	33	33	29	31	34	16	28	22	24	23	19	18	16	15	19	13	15	13	12	11	15	8	7	7	12	12	7	10	11	6	11	12	9	9	7	4	7	3	5	6	3	4	1	4	3	2	4	3	4	4	2	2	1	3	2	1	2	3	1	1	1	1	2	1	1	2	1	2	1	3	1	1																																																																																																																																					
CHa_47_T0_B_TWS042_10_chrM	24365	25397	24443	20996	17446	14337	11958	10230	8743	7415	6423	5415	4424	3866	3126	2488	2118	1714	1317	1052	825	635	533	431	350	268	204	162	101	78	64	57	41	35	23	25	13	11	11	8	8	5	1	2	1	1	2	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																				
CHa_47_T0_B_TWS042_10_chrX	5874559	4498320	4254288	3743637	3212943	2791611	2474072	2250262	2069363	1916523	1783054	1657568	1543050	1433046	1329236	1228495	1140606	1051717	971850	895995	825732	759755	699357	641691	589265	541913	496474	456955	419579	385283	352786	324023	298284	274269	251719	231961	212729	196320	181698	166415	154070	141341	131085	120441	112364	103735	95910	89051	82277	76803	71588	66065	61333	57132	53400	49819	46275	43276	40228	37905	35226	33138	30731	29278	27249	25391	23779	22743	21220	19823	18456	17462	16527	15803	14909	13881	13333	12463	11602	11000	10470	9981	9416	9173	8692	7918	7716	7327	6841	6528	6283	6088	5737	5454	5261	4928	4810	4519	4335	4084	4018	3836	3796	3526	3463	3233	3136	3053	2862	2857	2729	2620	2563	2299	2311	2306	2140	2083	2028	1881	1903	1800	1651	1691	1564	1628	1565	1478	1384	1298	1404	1268	1286	1203	1171	1198	1082	1073	997	1015	962	973	881	883	849	853	835	802	786	726	744	724	728	682	676	641	565	598	570	586	558	513	556	508	502	498	468	477	447	451	420	424	406	373	393	387	365	352	347	334	342	341	326	314	271	295	285	257	277	271	236	248	231	229	215	235	235	194	243	200	180	215	166	176	183	149	159	143	159	140	137	134	157	145	111	128	110	109	121	104	121	118	112	97	99	98	111	105	87	75	89	97	84	83	68	66	56	95	73	81	73	62	70	48	65	55	61	55	52	75	57	58	63	39	55	42	57	45	51	25	41	41	45	38	44	36	31	25	23	49	38	33	33	24	36	35	24	23	30	31	18	29	18	26	18	26	14	19	17	20	16	20	18	17	15	22	17	10	20	13	22	16	14	15	12	14	18	9	11	13	9	6	12	8	12	12	10	9	9	16	13	10	10	4	7	7	10	6	6	8	7	8	6	4	6	7	5	5	4	6	8	9	4	3	2	2	6	6	2	4	2	2	3	6	2	2	2	2	3	2	2	3	2	3	1	2	1	2	2	1	2	1	1	1	1	1	3	1	1	1	2	1	3	1	1	1	1	1	1	1	1	1	1																														
CHa_47_T0_B_TWS042_10_chrY	63017	47659	41779	31218	21788	14530	9863	6990	5302	4119	3239	2765	2354	2085	1797	1536	1379	1251	1058	927	764	719	632	516	458	426	358	277	263	212	197	171	149	120	104	76	84	67	57	56	37	30	29	12	18	18	15	10	14	8	10	5	9	8	6	9	4	4	1	2	3	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																				
CHa_47_T0_B_TWS042_10_unknown	213266	187204	163255	128666	94471	68846	51052	39449	31389	25979	22097	18718	16223	14358	12697	11355	9963	8925	7987	7232	6605	6028	5446	4892	4624	4201	3803	3567	3379	3033	2857	2643	2479	2390	2231	2078	1879	1862	1716	1584	1574	1541	1366	1312	1317	1200	1058	1050	1039	927	913	859	828	805	710	710	659	608	588	557	519	507	444	458	366	372	307	335	299	310	241	264	239	249	216	196	183	201	146	148	137	141	108	104	90	84	98	92	66	61	74	56	42	69	48	43	49	39	31	35	32	27	28	23	22	17	15	28	17	15	16	17	12	17	10	17	12	9	6	5	11	6	5	8	13	4	4	2	4	6	4	6	1	2	3	1	1	1	2	2	1	1	3	1	1	3	1	1	1																																																																																																																																																																																																																																																																																		
