Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
CHa_47_T0_B_TWS042_10_chr19	(1, 7666176)	(2, 5206161)	(3, 5125496)	(4, 4769118)	(5, 4345142)	(6, 3969929)	(7, 3660750)	(8, 3407778)	(9, 3181716)	(10, 2976119)	(11, 2775480)	(12, 2581902)	(13, 2405044)	(14, 2228755)	(15, 2061643)
CHa_47_T0_B_TWS042_10_chr2	(1, 10609905)	(2, 8679976)	(3, 8364901)	(4, 7471882)	(5, 6521409)	(6, 5737710)	(7, 5130004)	(8, 4658330)	(9, 4266154)	(10, 3926514)	(11, 3614821)	(12, 3327450)	(13, 3057079)	(14, 2807146)	(15, 2565205)
CHa_47_T0_B_TWS042_10_chr20	(1, 3426633)	(2, 2550670)	(3, 2465514)	(4, 2220389)	(5, 1956740)	(6, 1740666)	(7, 1575831)	(8, 1449681)	(9, 1349629)	(10, 1260335)	(11, 1180373)	(12, 1101409)	(13, 1027102)	(14, 957146)	(15, 888207)
CHa_47_T0_B_TWS042_10_chr21	(1, 1715273)	(2, 1264758)	(3, 1191391)	(4, 1050029)	(5, 908424)	(6, 790347)	(7, 703581)	(8, 641241)	(9, 588553)	(10, 544462)	(11, 504829)	(12, 470800)	(13, 436000)	(14, 403534)	(15, 373803)
CHa_47_T0_B_TWS042_10_chr22	(1, 3069043)	(2, 2074051)	(3, 2000847)	(4, 1817754)	(5, 1624091)	(6, 1460399)	(7, 1337721)	(8, 1243315)	(9, 1168233)	(10, 1098078)	(11, 1036114)	(12, 976016)	(13, 915192)	(14, 858111)	(15, 803763)
CHa_47_T0_B_TWS042_10_chr3	(1, 8381704)	(2, 6923573)	(3, 6686662)	(4, 5973858)	(5, 5207049)	(6, 4579756)	(7, 4094890)	(8, 3727107)	(9, 3413974)	(10, 3147189)	(11, 2905152)	(12, 2680026)	(13, 2463273)	(14, 2267013)	(15, 2078049)
CHa_47_T0_B_TWS042_10_chr4	(1, 6369964)	(2, 5386307)	(3, 5115549)	(4, 4480457)	(5, 3819436)	(6, 3286183)	(7, 2886264)	(8, 2580384)	(9, 2337037)	(10, 2134393)	(11, 1951817)	(12, 1782974)	(13, 1629274)	(14, 1487207)	(15, 1357015)
CHa_47_T0_B_TWS042_10_chr5	(1, 6833945)	(2, 5632958)	(3, 5396729)	(4, 4775395)	(5, 4118814)	(6, 3582642)	(7, 3172764)	(8, 2868052)	(9, 2614832)	(10, 2398389)	(11, 2204145)	(12, 2026533)	(13, 1859517)	(14, 1706346)	(15, 1560141)
CHa_47_T0_B_TWS042_10_chr6	(1, 7240003)	(2, 5858505)	(3, 5631592)	(4, 5024044)	(5, 4369026)	(6, 3834123)	(7, 3426819)	(8, 3115660)	(9, 2855297)	(10, 2630004)	(11, 2428607)	(12, 2239148)	(13, 2063549)	(14, 1897282)	(15, 1740730)
CHa_47_T0_B_TWS042_10_chr7	(1, 7365914)	(2, 5663836)	(3, 5394088)	(4, 4791390)	(5, 4162569)	(6, 3638393)	(7, 3244496)	(8, 2947741)	(9, 2707368)	(10, 2500321)	(11, 2311472)	(12, 2139383)	(13, 1974749)	(14, 1830262)	(15, 1683553)
CHa_47_T0_B_TWS042_10_chr8	(1, 5293567)	(2, 4321157)	(3, 4109850)	(4, 3607507)	(5, 3087218)	(6, 2665250)	(7, 2344504)	(8, 2107427)	(9, 1918047)	(10, 1755579)	(11, 1614093)	(12, 1483089)	(13, 1360745)	(14, 1249166)	(15, 1144599)
CHa_47_T0_B_TWS042_10_chr9	(1, 5849168)	(2, 4558638)	(3, 4395712)	(4, 3953075)	(5, 3470162)	(6, 3066222)	(7, 2751048)	(8, 2518227)	(9, 2313098)	(10, 2134598)	(11, 1980764)	(12, 1828948)	(13, 1688914)	(14, 1558830)	(15, 1434178)
CHa_47_T0_B_TWS042_10_chrM	(1, 24365)	(2, 25397)	(3, 24443)	(4, 20996)	(5, 17446)	(6, 14337)	(7, 11958)	(8, 10230)	(9, 8743)	(10, 7415)	(11, 6423)	(12, 5415)	(13, 4424)	(14, 3866)	(15, 3126)
CHa_47_T0_B_TWS042_10_chrX	(1, 5874559)	(2, 4498320)	(3, 4254288)	(4, 3743637)	(5, 3212943)	(6, 2791611)	(7, 2474072)	(8, 2250262)	(9, 2069363)	(10, 1916523)	(11, 1783054)	(12, 1657568)	(13, 1543050)	(14, 1433046)	(15, 1329236)
CHa_47_T0_B_TWS042_10_chrY	(1, 63017)	(2, 47659)	(3, 41779)	(4, 31218)	(5, 21788)	(6, 14530)	(7, 9863)	(8, 6990)	(9, 5302)	(10, 4119)	(11, 3239)	(12, 2765)	(13, 2354)	(14, 2085)	(15, 1797)
CHa_47_T0_B_TWS042_10_unknown	(1, 213266)	(2, 187204)	(3, 163255)	(4, 128666)	(5, 94471)	(6, 68846)	(7, 51052)	(8, 39449)	(9, 31389)	(10, 25979)	(11, 22097)	(12, 18718)	(13, 16223)	(14, 14358)	(15, 12697)
