gene	sample	impact	mutations	dnds	pvalue	lower	upper	flagged	flag_reason
KMT2D--exon_54_ENST00000301067_ENSE00003917257	P19_0052_BTR_01	missense	2	0.803271484375	0.74913126	0.13394866943359374	2.4994384765625	False	
KMT2D--exon_54_ENST00000301067_ENSE00003917257	P19_0052_BTR_01	nonsynonymous_splice	2	0.7451171874999998	0.66352487	0.12414417266845701	2.3179931640625	False	
NOTCH2	P19_0052_BTR_01	missense	9	3.0750000000000046	0.0047186017	1.4699157714843771	5.590869140625005	False	
NOTCH2	P19_0052_BTR_01	nonsense	1	4.403125000000007	0.23479849	0.2502490234375004	19.706469726562506	False	
NOTCH2	P19_0052_BTR_01	truncating	1	3.3367187500000046	0.3160472	0.1903055572509768	14.843066406250003	False	
NOTCH2	P19_0052_BTR_01	nonsynonymous_splice	10	3.106249618530278	0.002715826	1.546786004509779	5.496386337280278	False	
ALL_GENES	P19_0052_BTR_01	missense	80	3.9640625000000065	0.0	3.1058687591552783	4.992504882812506	False	
ALL_GENES	P19_0052_BTR_01	nonsense	48	24.893847656250045	0.0	17.670484652519256	34.426318359375045	False	
ALL_GENES	P19_0052_BTR_01	essential_splice	12	24.703125000000046	0.0	13.032518711090113	42.33801269531254	False	
ALL_GENES	P19_0052_BTR_01	truncating	60	24.78437500000005	0.0	18.373037719726597	32.891064453125054	False	
ALL_GENES	P19_0052_BTR_01	nonsynonymous_splice	140	6.062500000000011	0.0	5.000800476074228	7.297241210937511	False	
RBM10--zf_RanBP	P19_0050_BDO_01	nonsense	4	8.873439025878922	0.0014358759	2.6927266924642073	21.524806213378923	False	
RBM10--zf_RanBP	P19_0050_BDO_01	essential_splice	1	5.81250000000001	0.17326492	0.3301574707031255	26.05847167968751	False	
RBM10--zf_RanBP	P19_0050_BDO_01	truncating	5	7.998388671875014	0.00057303905	2.8252439081668905	17.657812500000013	False	
RBM10--zf_RanBP	P19_0050_BDO_01	nonsynonymous_splice	5	1.4898437500000015	0.4063965	0.5317027282714849	3.2372802734375012	False	
RBM10--exon_8_ENST00000377604_ENSE00001325340	P19_0050_BDO_01	nonsense	4	9.582812500000019	0.0010595918	2.9138621902465878	23.179003906250017	False	
RBM10--exon_8_ENST00000377604_ENSE00001325340	P19_0050_BDO_01	truncating	4	9.582812500000019	0.0010595918	2.9138621902465878	23.179003906250017	False	
RBM10--exon_8_ENST00000377604_ENSE00001325340	P19_0050_BDO_01	nonsynonymous_splice	4	1.3277343750000008	0.5908489	0.41021034240722687	3.1178955078125004	False	
KMT2D--zf_HC5HC2H_2	P19_0050_BDO_01	missense	8	3.418750000000005	0.0040748715	1.5520932006835961	6.436938476562505	False	
KMT2D--zf_HC5HC2H_2	P19_0050_BDO_01	nonsense	2	10.875000000000023	0.0154156685	1.7878970336914097	34.53344726562502	False	
KMT2D--zf_HC5HC2H_2	P19_0050_BDO_01	truncating	2	10.875000000000023	0.0154156685	1.7878970336914097	34.53344726562502	False	
KMT2D--zf_HC5HC2H_2	P19_0050_BDO_01	nonsynonymous_splice	10	3.9640625000000065	0.00042551756	1.971585693359378	7.032299804687506	False	
ARID1A--exon_2_ENST00000324856_ENSE00003471930	P19_0050_BDO_01	missense	1	0.3187011718749994	0.16044635	0.018441047668457014	1.4124511718749995	False	
ARID1A--exon_2_ENST00000324856_ENSE00003471930	P19_0050_BDO_01	nonsense	2	3.364062500000005	0.1566832	0.5512683868408211	10.763354492187505	False	
ARID1A--exon_2_ENST00000324856_ENSE00003471930	P19_0050_BDO_01	truncating	2	3.364062500000005	0.1566832	0.5512683868408211	10.763354492187505	False	
ARID1A--exon_2_ENST00000324856_ENSE00003471930	P19_0050_BDO_01	nonsynonymous_splice	3	0.8046871185302732	0.6992037	0.20013510160148137	2.107177352905273	False	
RB1	P19_0050_BDO_01	missense	3	0.9529296875	0.93260103	0.23652412414550783	2.4940673828125	False	
RB1	P19_0050_BDO_01	nonsynonymous_splice	3	0.8066406249999998	0.701953	0.1998245239257812	2.11279296875	False	
EP300--HAT_KAT11	P19_0050_BDO_01	missense	10	1.6933593750000018	0.13045985	0.8418162536621103	3.0074462890625018	False	
EP300--HAT_KAT11	P19_0050_BDO_01	nonsense	2	3.5250000000000052	0.1417275	0.5832470703125009	11.051855468750006	False	
EP300--HAT_KAT11	P19_0050_BDO_01	essential_splice	2	6.973437500000012	0.03760636	1.153288993835451	21.83244628906251	False	
EP300--HAT_KAT11	P19_0050_BDO_01	truncating	4	4.7093750000000085	0.013924897	1.4527402496337918	11.091821289062509	False	
EP300--HAT_KAT11	P19_0050_BDO_01	nonsynonymous_splice	14	2.087500000000002	0.015621364	1.164392089843751	3.427221679687502	False	
KMT2D--exon_46_ENST00000301067_ENSE00001272698	P19_0050_BDO_01	missense	2	1.2354980468750008	0.7732113	0.20507439613342296	3.8423095703125005	False	
KMT2D--exon_46_ENST00000301067_ENSE00001272698	P19_0050_BDO_01	nonsynonymous_splice	2	1.1071289062500003	0.8872166	0.18410492897033695	3.4435546875000007	False	
ARID1A--exon_18_ENST00000324856_ENSE00001349739	P19_0050_BDO_01	missense	1	0.3177734374999994	0.1582452	0.01841567993164061	1.4048095703124996	False	
ARID1A--exon_18_ENST00000324856_ENSE00001349739	P19_0050_BDO_01	nonsense	4	9.007031250000018	0.0013338327	2.7424967956543016	21.69624023437502	False	
ARID1A--exon_18_ENST00000324856_ENSE00001349739	P19_0050_BDO_01	truncating	4	9.007031250000018	0.0013338327	2.7424967956543016	21.69624023437502	False	
ARID1A--exon_18_ENST00000324856_ENSE00001349739	P19_0050_BDO_01	nonsynonymous_splice	5	1.3683593750000007	0.50800455	0.4882114791870119	2.9693115234375007	False	
KMT2D--exon_55_ENST00000301067_ENSE00002152433	P19_0050_BDO_01	nonsense	1	1.1843811035156255	0.87126136	0.06676939904689792	5.4617248535156255	False	
KMT2D--exon_55_ENST00000301067_ENSE00002152433	P19_0050_BDO_01	truncating	1	1.1843811035156255	0.87126136	0.06676939904689792	5.4617248535156255	False	
KMT2D--exon_55_ENST00000301067_ENSE00002152433	P19_0050_BDO_01	nonsynonymous_splice	1	0.18427886962890555	0.021030307	0.010680776834487912	0.8220962524414057	False	
KMT2D--exon_35_ENST00000301067_ENSE00001272775	P19_0050_BDO_01	missense	5	0.9220702648162842	0.85448706	0.32886831523850557	2.001782178878784	False	
KMT2D--exon_35_ENST00000301067_ENSE00001272775	P19_0050_BDO_01	nonsense	10	15.44375000000003	0.0	7.529996719360366	28.23916015625003	False	
KMT2D--exon_35_ENST00000301067_ENSE00001272775	P19_0050_BDO_01	truncating	10	15.44375000000003	0.0	7.529996719360366	28.23916015625003	False	
KMT2D--exon_35_ENST00000301067_ENSE00001272775	P19_0050_BDO_01	nonsynonymous_splice	15	2.4339843750000036	0.003132224	1.3847352790832543	3.947656250000003	False	
CREBBP--exon_6_ENST00000262367_ENSE00001692816	P19_0050_BDO_01	nonsense	2	4.221850585937506	0.103762865	0.6866107630729685	13.765917968750006	False	
CREBBP--exon_6_ENST00000262367_ENSE00001692816	P19_0050_BDO_01	truncating	2	4.221850585937506	0.103762865	0.6866107630729685	13.765917968750006	False	
CREBBP--exon_6_ENST00000262367_ENSE00001692816	P19_0050_BDO_01	nonsynonymous_splice	2	0.6106445312499997	0.4496023	0.10150444030761716	1.8990966796874993	False	
KMT2D	P19_0050_BDO_01	missense	72	1.516409301757814	0.0020686984	1.169229032993318	1.9363311767578137	False	
KMT2D	P19_0050_BDO_01	nonsense	118	19.34999694824223	0.0	14.928734828513146	25.00307312011723	False	
KMT2D	P19_0050_BDO_01	essential_splice	26	20.62031250000004	0.0	13.294619455337553	30.65021972656254	False	
KMT2D	P19_0050_BDO_01	truncating	144	19.850000000000044	0.0	15.866621093750036	24.751733398437544	False	
KMT2D	P19_0050_BDO_01	nonsynonymous_splice	216	3.6304687500000057	0.0	3.070957832336431	4.275000000000006	False	
RBM10--exon_18_ENST00000377604_ENSE00001289745	P19_0050_BDO_01	nonsense	5	14.175390625000027	4.017353e-05	4.95111373424531	31.903662109375027	False	
RBM10--exon_18_ENST00000377604_ENSE00001289745	P19_0050_BDO_01	truncating	5	14.175390625000027	4.017353e-05	4.95111373424531	31.903662109375027	False	
RBM10--exon_18_ENST00000377604_ENSE00001289745	P19_0050_BDO_01	nonsynonymous_splice	5	1.9787109375000023	0.17266947	0.7069313621521003	4.2888916015625025	False	
KMT2D--exon_47_ENST00000301067_ENSE00001272689	P19_0050_BDO_01	nonsense	2	17.162500000000033	0.006301999	2.759697341918951	57.45913085937504	False	
KMT2D--exon_47_ENST00000301067_ENSE00001272689	P19_0050_BDO_01	truncating	2	17.162500000000033	0.006301999	2.759697341918951	57.45913085937504	False	
KMT2D--exon_47_ENST00000301067_ENSE00001272689	P19_0050_BDO_01	nonsynonymous_splice	2	1.0046907424926759	0.99471533	0.16639180619269614	3.1305452346801754	False	
RBM10	P19_0050_BDO_01	missense	21	2.3128906250000028	0.0009089112	1.4448088073730483	3.495751953125003	False	
RBM10	P19_0050_BDO_01	nonsense	62	48.10000000000008	0.0	34.962865142822324	65.39248046875008	False	
RBM10	P19_0050_BDO_01	essential_splice	30	66.35156250000009	0.0	44.28461119174963	95.79309082031259	False	
RBM10	P19_0050_BDO_01	truncating	92	54.5625000000001	0.0	42.3128266906739	69.6430664062501	False	
RBM10	P19_0050_BDO_01	nonsynonymous_splice	113	10.293750000000022	0.0	8.318471603393572	12.629565429687522	False	
KMT2D--exon_32_ENST00000301067_ENSE00001273127	P19_0050_BDO_01	missense	5	2.0500123977661158	0.15373814	0.7321723576076336	4.438318061828616	False	
KMT2D--exon_32_ENST00000301067_ENSE00001273127	P19_0050_BDO_01	nonsense	17	61.35000000000011	0.0	35.258785400390686	100.35390625000011	False	
KMT2D--exon_32_ENST00000301067_ENSE00001273127	P19_0050_BDO_01	truncating	17	61.35000000000011	0.0	35.258785400390686	100.35390625000011	False	
KMT2D--exon_32_ENST00000301067_ENSE00001273127	P19_0050_BDO_01	nonsynonymous_splice	22	7.862500000000016	0.0	4.955196228027354	11.801098632812515	False	
RB1--exon_10_ENST00000267163_ENSE00000939672	P19_0050_BDO_01	missense	1	0.19044189453124927	0.024257362	0.011409702301025386	0.8471801757812492	False	
RB1--exon_10_ENST00000267163_ENSE00000939672	P19_0050_BDO_01	nonsynonymous_splice	1	0.168357849121093	0.012994289	0.168357849121093	0.748802185058593	False	
KMT2D--exon_40_ENST00000301067_ENSE00001273067	P19_0050_BDO_01	missense	6	0.604296493530273	0.18315595	0.23924522943794713	1.2341793060302733	False	
KMT2D--exon_40_ENST00000301067_ENSE00001273067	P19_0050_BDO_01	nonsense	38	16.20937500000003	0.0	10.75256649017336	24.00417480468753	False	
KMT2D--exon_40_ENST00000301067_ENSE00001273067	P19_0050_BDO_01	truncating	38	16.20937500000003	0.0	10.75256649017336	24.00417480468753	False	
KMT2D--exon_40_ENST00000301067_ENSE00001273067	P19_0050_BDO_01	nonsynonymous_splice	44	3.2986328125000055	0.0	2.3720990562439006	4.471118164062506	False	
NOTCH2--exon_25_ENST00000256646_ENSE00000913345	P19_0050_BDO_01	missense	1	0.3593627929687494	0.219688	0.02091758728027342	1.5916625976562493	False	
NOTCH2--exon_25_ENST00000256646_ENSE00000913345	P19_0050_BDO_01	nonsynonymous_splice	1	0.3216766357421869	0.16423547	0.018522408008575422	1.423971557617187	False	
CREBBP	P19_0050_BDO_01	missense	31	6.729687500000011	0.0	4.574006500244147	9.522045898437511	False	
CREBBP	P19_0050_BDO_01	nonsense	8	11.837524414062527	7.748604e-07	5.293548046052468	22.78662109375003	False	
CREBBP	P19_0050_BDO_01	essential_splice	3	22.143750000000047	0.00034570694	5.4684605026245245	58.27900390625005	False	
CREBBP	P19_0050_BDO_01	truncating	11	13.674804687500028	0.0	6.965005266666427	24.04956054687503	False	
CREBBP	P19_0050_BDO_01	nonsynonymous_splice	42	7.646875000000015	0.0	5.471036834716807	10.389794921875016	False	
KMT2D--exon_28_ENST00000301067_ENSE00001272819	P19_0050_BDO_01	missense	2	0.4734129905700679	0.23103738	0.07878786578774447	1.475610256195068	False	
KMT2D--exon_28_ENST00000301067_ENSE00001272819	P19_0050_BDO_01	nonsynonymous_splice	2	0.4468749523162837	0.19223851	0.07484862573444837	1.3929198741912838	False	
KMT2D--exon_12_ENST00000301067_ENSE00001272923	P19_0050_BDO_01	missense	2	0.3971679687499995	0.12602377	0.06595787048339836	1.2364013671874996	False	
KMT2D--exon_12_ENST00000301067_ENSE00001272923	P19_0050_BDO_01	nonsense	5	9.41406250000002	0.0002745986	3.3098019599914617	20.97961425781252	False	
KMT2D--exon_12_ENST00000301067_ENSE00001272923	P19_0050_BDO_01	truncating	5	9.41406250000002	0.0002745986	3.3098019599914617	20.97961425781252	False	
KMT2D--exon_12_ENST00000301067_ENSE00001272923	P19_0050_BDO_01	nonsynonymous_splice	7	1.2580078125000005	0.56283474	0.537112674713135	2.4610107421875007	False	
CDKN1A	P19_0050_BDO_01	missense	1	0.19384765624999928	0.025609195	0.011436309814453118	0.8579101562499991	False	
CDKN1A	P19_0050_BDO_01	nonsense	2	2.684472656250003	0.23237419	0.4435570907592778	8.428491210937503	False	
CDKN1A	P19_0050_BDO_01	truncating	2	2.2531242370605495	0.31312132	0.37308383036404896	7.0480461120605495	False	
CDKN1A	P19_0050_BDO_01	nonsynonymous_splice	3	0.49736337661743124	0.17495161	0.12327390979975454	1.3005860328674315	False	
CDKN1A--exon_2_ENST00000244741_ENSE00003747087	P19_0050_BDO_01	missense	1	0.3507324218749994	0.20670623	0.019982395172119125	1.5537353515624996	False	
CDKN1A--exon_2_ENST00000244741_ENSE00003747087	P19_0050_BDO_01	nonsense	2	4.665623474121102	0.08351463	0.769835032336415	14.702854919433602	False	
CDKN1A--exon_2_ENST00000244741_ENSE00003747087	P19_0050_BDO_01	truncating	2	4.665623474121102	0.08351463	0.769835032336415	14.702854919433602	False	
CDKN1A--exon_2_ENST00000244741_ENSE00003747087	P19_0050_BDO_01	nonsynonymous_splice	3	0.9171874523162842	0.8807269	0.22793761061504483	2.402172803878784	False	
EP300	P19_0050_BDO_01	missense	20	1.6156250000000019	0.05132264	0.997051696777345	2.4646240234375014	False	
EP300	P19_0050_BDO_01	nonsense	12	6.755859375000012	1.013279e-06	3.476805171966559	11.968261718750014	False	
EP300	P19_0050_BDO_01	essential_splice	4	15.34843750000003	0.00015544891	4.734920291900645	36.08452148437503	False	
EP300	P19_0050_BDO_01	truncating	16	8.056152343750016	0.0	4.559533405303963	13.289916992187514	False	
EP300	P19_0050_BDO_01	nonsynonymous_splice	36	2.4875000000000034	4.2915344e-06	1.7326367187500025	3.4610107421875034	False	
KMT2D--exon_49_ENST00000301067_ENSE00001272677	P19_0050_BDO_01	missense	14	1.898436737060549	0.03254354	1.060258517339827	3.112425994873049	False	
KMT2D--exon_49_ENST00000301067_ENSE00001272677	P19_0050_BDO_01	nonsense	4	5.162109375000009	0.010270119	1.582927923202517	12.286132812500009	False	
KMT2D--exon_49_ENST00000301067_ENSE00001272677	P19_0050_BDO_01	truncating	4	5.162109375000009	0.010270119	1.582927923202517	12.286132812500009	False	
KMT2D--exon_49_ENST00000301067_ENSE00001272677	P19_0050_BDO_01	nonsynonymous_splice	18	2.211718750000003	0.0034185052	1.3274835586547866	3.445849609375003	False	
KMT2C	P19_0050_BDO_01	missense	10	2.8609375000000044	0.0050802827	1.4201560974121112	5.087500000000004	False	
KMT2C	P19_0050_BDO_01	nonsense	5	11.031640625000025	0.00013130903	3.867305135726937	24.631494140625023	False	
KMT2C	P19_0050_BDO_01	essential_splice	1	22.26855468750004	0.03832352	1.267342063188555	99.08923339843754	False	
KMT2C	P19_0050_BDO_01	truncating	6	12.112597656250022	1.6391277e-05	4.714678007364281	25.398730468750024	False	
KMT2C	P19_0050_BDO_01	nonsynonymous_splice	16	3.9750000000000063	9.536743e-06	2.299361572265629	6.371850585937507	False	
KMT2D--exon_51_ENST00000301067_ENSE00001272663	P19_0050_BDO_01	missense	2	0.8781249999999998	0.8513404	0.14649230957031248	2.727490234375	False	
KMT2D--exon_51_ENST00000301067_ENSE00001272663	P19_0050_BDO_01	nonsense	1	3.4359375000000054	0.3076502	0.1948467254638675	15.605126953125005	False	
KMT2D--exon_51_ENST00000301067_ENSE00001272663	P19_0050_BDO_01	truncating	1	3.4359375000000054	0.3076502	0.1948467254638675	15.605126953125005	False	
KMT2D--exon_51_ENST00000301067_ENSE00001272663	P19_0050_BDO_01	nonsynonymous_splice	3	1.1702880859375004	0.7915345	0.2904407238960267	3.059326171875	False	
EP300--exon_25_ENST00000263253_ENSE00000655352	P19_0050_BDO_01	missense	3	0.6619140624999997	0.44660258	0.16406562805175778	1.7336914062499997	False	
EP300--exon_25_ENST00000263253_ENSE00000655352	P19_0050_BDO_01	nonsynonymous_splice	3	0.6050781249999996	0.34744918	0.15005256652832022	1.5865234374999995	False	
EP300--exon_12_ENST00000263253_ENSE00000655110	P19_0050_BDO_01	nonsense	1	1.397265625000001	0.7555438	0.07841495513916022	6.642016601562501	False	
EP300--exon_12_ENST00000263253_ENSE00000655110	P19_0050_BDO_01	truncating	1	1.397265625000001	0.7555438	0.07841495513916022	6.642016601562501	False	
EP300--exon_12_ENST00000263253_ENSE00000655110	P19_0050_BDO_01	nonsynonymous_splice	1	0.24633789062499933	0.07076013	0.01461597442626952	1.0947265624999991	False	
ARID1A	P19_0050_BDO_01	missense	16	1.9921875000000022	0.014841676	1.1578878784179703	3.1732177734375018	False	
ARID1A	P19_0050_BDO_01	nonsense	57	49.58750000000008	0.0	35.47664325714117	68.45163574218758	False	
ARID1A	P19_0050_BDO_01	essential_splice	10	59.3984375000001	0.0	29.26471386432652	106.8294677734376	False	
ARID1A	P19_0050_BDO_01	truncating	67	51.293750000000095	0.0	37.93286823272713	68.4843017578126	False	
ARID1A	P19_0050_BDO_01	nonsynonymous_splice	83	8.186621093750018	0.0	6.393992738723769	10.350927734375018	False	
NOTCH2	P19_0050_BDO_01	missense	19	1.3820190429687509	0.19224161	0.8400447237491614	2.133972167968751	False	
NOTCH2	P19_0050_BDO_01	nonsense	4	2.963281250000004	0.0688774	0.9055017852783216	7.089257812500004	False	
NOTCH2	P19_0050_BDO_01	essential_splice	3	8.762500000000017	0.00564909	2.1623329162597695	23.090502929687517	False	
NOTCH2	P19_0050_BDO_01	truncating	7	4.190625000000006	0.0024437308	1.7731908416748072	8.306225585937506	False	
NOTCH2	P19_0050_BDO_01	nonsynonymous_splice	26	1.6832031250000017	0.017930627	1.0998696136474622	2.460791015625002	False	
RBM10--exon_15_ENST00000377604_ENSE00001305192	P19_0050_BDO_01	nonsense	3	8.518750000000017	0.0064068437	2.076425552368168	23.05122070312502	False	
RBM10--exon_15_ENST00000377604_ENSE00001305192	P19_0050_BDO_01	truncating	3	8.518750000000017	0.0064068437	2.076425552368168	23.05122070312502	False	
RBM10--exon_15_ENST00000377604_ENSE00001305192	P19_0050_BDO_01	nonsynonymous_splice	3	1.2437011718750008	0.7157154	0.3087870025634768	3.251147460937501	False	
NOTCH2--exon_28_ENST00000256646_ENSE00000913348	P19_0050_BDO_01	nonsense	1	2.536718750000003	0.42205238	0.14386180877685562	11.473486328125002	False	
NOTCH2--exon_28_ENST00000256646_ENSE00000913348	P19_0050_BDO_01	truncating	1	2.536718750000003	0.42205238	0.14386180877685562	11.473486328125002	False	
NOTCH2--exon_28_ENST00000256646_ENSE00000913348	P19_0050_BDO_01	nonsynonymous_splice	1	0.19091813564300467	0.023936152	0.011413422934710975	0.8458253622055045	False	
RBM10--exon_17_ENST00000377604_ENSE00001297542	P19_0050_BDO_01	missense	2	0.8226562499999999	0.7755194	0.1369775390625	2.5536132812499996	False	
RBM10--exon_17_ENST00000377604_ENSE00001297542	P19_0050_BDO_01	nonsense	6	11.375781250000024	2.4437904e-05	4.40674814224244	24.058886718750024	False	
RBM10--exon_17_ENST00000377604_ENSE00001297542	P19_0050_BDO_01	truncating	6	11.375781250000024	2.4437904e-05	4.40674814224244	24.058886718750024	False	
RBM10--exon_17_ENST00000377604_ENSE00001297542	P19_0050_BDO_01	nonsynonymous_splice	8	2.6945320129394563	0.016704082	1.2244623583927763	5.065747833251956	False	
KMT2C--exon_11_ENST00000262189_ENSE00001666640	P19_0050_BDO_01	missense	1	0.2778564453124993	0.1070441	0.016277885437011703	1.2354980468749994	False	
KMT2C--exon_11_ENST00000262189_ENSE00001666640	P19_0050_BDO_01	nonsynonymous_splice	1	0.24963073730468682	0.074747324	0.014680287837982163	1.1114471435546867	False	
ALL_GENES	P19_0050_BDO_01	missense	230	2.290234375000003	0.0	1.95176208496094	2.6778076171875025	False	
ALL_GENES	P19_0050_BDO_01	nonsense	300	23.575000000000045	0.0	19.296076965332066	28.785571289062545	False	
ALL_GENES	P19_0050_BDO_01	essential_splice	92	30.626562500000055	0.0	23.81706825256352	39.025000000000055	False	
ALL_GENES	P19_0050_BDO_01	truncating	392	26.698437500000047	0.0	22.68963350296024	31.391430664062547	False	
ALL_GENES	P19_0050_BDO_01	nonsynonymous_splice	622	4.7359375000000075	0.0	4.209230842590339	5.3279785156250075	False	
EP300--exon_30_ENST00000263253_ENSE00000655442	CallerDeepumicaller	missense	16	7.125781250000013	0.0	4.145526676177985	11.345751953125014	False	
EP300--exon_30_ENST00000263253_ENSE00000655442	CallerDeepumicaller	nonsense	1	5.787503051757822	0.17425036	0.32807298295199916	26.090237426757824	False	
EP300--exon_30_ENST00000263253_ENSE00000655442	CallerDeepumicaller	truncating	1	5.787503051757822	0.17425036	0.32807298295199916	26.090237426757824	False	
EP300--exon_30_ENST00000263253_ENSE00000655442	CallerDeepumicaller	nonsynonymous_splice	17	7.006250000000012	0.0	4.145234680175789	11.023583984375012	False	
KMT2D--exon_39_ENST00000301067_ENSE00001273074	CallerDeepumicaller	missense	5	1.9910156250000024	0.16931689	0.7103199768066414	4.318896484375003	False	
KMT2D--exon_39_ENST00000301067_ENSE00001273074	CallerDeepumicaller	nonsense	14	35.006298828125054	0.0	18.72300201162699	60.824780273437554	False	
KMT2D--exon_39_ENST00000301067_ENSE00001273074	CallerDeepumicaller	truncating	14	35.006298828125054	0.0	18.72300201162699	60.824780273437554	False	
KMT2D--exon_39_ENST00000301067_ENSE00001273074	CallerDeepumicaller	nonsynonymous_splice	19	6.22343750000001	0.0	3.778868522644048	9.62553710937501	False	
NOTCH2--exon_33_ENST00000256646_ENSE00000913353	CallerDeepumicaller	missense	6	2.5125000000000037	0.051541686	0.993037719726564	5.133349609375004	False	
NOTCH2--exon_33_ENST00000256646_ENSE00000913353	CallerDeepumicaller	nonsense	2	7.2328155517578265	0.035710216	1.1844128802418732	23.242337036132827	False	
NOTCH2--exon_33_ENST00000256646_ENSE00000913353	CallerDeepumicaller	truncating	2	7.2328155517578265	0.035710216	1.1844128802418732	23.242337036132827	False	
NOTCH2--exon_33_ENST00000256646_ENSE00000913353	CallerDeepumicaller	nonsynonymous_splice	8	3.0031250000000043	0.0089351535	1.363336791992189	5.644726562500004	False	
RBM10--OCRE	CallerDeepumicaller	missense	10	3.5890625000000056	0.0009197593	1.7855505371093776	6.358837890625006	False	
RBM10--OCRE	CallerDeepumicaller	nonsense	22	54.312890625000094	0.0	32.91273260235792	85.5720458984376	False	
RBM10--OCRE	CallerDeepumicaller	essential_splice	4	33.54375000000005	7.033348e-06	10.27131931304933	80.03911132812505	False	
RBM10--OCRE	CallerDeepumicaller	truncating	26	48.594134521484456	0.0	31.02523492394021	73.03505249023445	False	
RBM10--OCRE	CallerDeepumicaller	nonsynonymous_splice	36	10.71405944824221	0.0	7.478799292743222	14.85956726074221	False	
RBM10--zf_RanBP	CallerDeepumicaller	missense	2	0.7340087890624998	0.6460202	0.1217122936248779	2.2830810546875	False	
RBM10--zf_RanBP	CallerDeepumicaller	nonsense	12	27.31230468750005	0.0	14.022761237621332	48.656909179687545	False	
RBM10--zf_RanBP	CallerDeepumicaller	essential_splice	2	10.971875000000026	0.015040815	1.809101676940922	34.614453125000026	False	
